text,label
Pelayanan akademik sangat membantu,positif
Dosen menjelaskan materi dengan jelas,positif
Aplikasi kampus mudah digunakan,positif
Petugas laboratorium ramah dan cepat,positif
Jadwal kuliah tersusun dengan baik,positif
Ruang kelas bersih dan nyaman,positif
Proses pengajuan surat sangat mudah,positif
Materi praktikum menarik dan bermanfaat,positif
Internet kampus hari ini lancar,positif
Saya puas dengan layanan perpustakaan,positif
Informasi beasiswa disampaikan tepat waktu,positif
Kegiatan mahasiswa berjalan sangat baik,positif
Pelayanan administrasi sangat lambat,negatif
Dosen sering terlambat masuk kelas,negatif
Aplikasi kampus sulit digunakan,negatif
Internet kampus sering terputus,negatif
Ruang kelas panas dan tidak nyaman,negatif
Jadwal kuliah berubah tanpa pemberitahuan,negatif
Petugas tidak memberikan solusi yang jelas,negatif
Proses pengajuan surat terlalu rumit,negatif
Materi praktikum membingungkan,negatif
Saya kecewa dengan layanan perpustakaan,negatif
Informasi kegiatan diberikan terlambat,negatif
Fasilitas komputer banyak yang rusak,negatif
Kuliah dimulai pukul delapan,netral
Perpustakaan berada di lantai dua,netral
Hari ini ada praktikum di laboratorium,netral
Jadwal ujian sudah tersedia di aplikasi,netral
Mahasiswa mengisi formulir secara daring,netral
Kelas ini memiliki tiga puluh mahasiswa,netral
Pertemuan berikutnya dilakukan secara luring,netral
Pengumuman ditempel di papan informasi,netral
Tugas dikumpulkan pada hari Jumat,netral
Laboratorium dibuka sampai pukul lima,netral
Saya telah menerima kartu mahasiswa,netral
Semester ini terdapat enam belas pertemuan,netral

